date,model,actual,predicted,residual
2022-02-01,ARIMA,-0.0505389891505989,1.474329983808147,-1.524868972958746
2022-03-01,ARIMA,0.0162338025034232,1.4743299838081505,-1.4580961813047273
2022-04-01,ARIMA,0.6072421433267468,1.4743299838081543,-0.8670878404814075
2022-05-01,ARIMA,-1.2569854600137265,1.4743299838081547,-2.731315443821881
2022-06-01,ARIMA,-0.6294488841200476,1.4743299838081527,-2.1037788679282006
2022-07-01,ARIMA,0.3159760488219946,1.474329983808151,-1.1583539349861565
2022-08-01,ARIMA,1.2663565500339478,1.474329983808151,-0.2079734337742032
2022-09-01,ARIMA,1.075313255581576,1.474329983808152,-0.39901672822657597
2022-10-01,ARIMA,-1.1157540922414406,1.474329983808153,-2.5900840760495933
2022-11-01,ARIMA,-1.5483193765772936,1.474329983808153,-3.0226493603854463
2022-12-01,ARIMA,-1.5765392547418278,1.4743299838081523,-3.0508692385499803
2023-01-01,ARIMA,-0.6383611633299321,1.4743299838081518,-2.112691147138084
2023-02-01,ARIMA,-0.861947683912365,1.4743299838081518,-2.336277667720517
2023-03-01,ARIMA,-0.4227957299013901,1.474329983808152,-1.897125713709542
2023-04-01,ARIMA,0.6448212909894687,1.4743299838081523,-0.8295086928186836
2023-05-01,ARIMA,1.8698039659974055,1.4743299838081523,0.3954739821892532
2023-06-01,ARIMA,1.90712919649707,1.474329983808152,0.43279921268891797
2023-07-01,ARIMA,1.38242120245666,1.474329983808152,-0.09190878135149205
2023-08-01,ARIMA,-0.2608169652484696,1.474329983808152,-1.7351469490566216
2023-09-01,ARIMA,-0.9252430127168404,1.474329983808152,-2.3995729965249923
2023-10-01,ARIMA,-0.8011231718785623,1.474329983808152,-2.2754531556867144
2023-11-01,ARIMA,0.995869674289368,1.474329983808152,-0.47846030951878404
2023-12-01,ARIMA,0.85245593504566,1.474329983808152,-0.6218740487624921
2024-01-01,ARIMA,1.2442780567954244,1.474329983808152,-0.2300519270127277
2024-02-01,ARIMA,-0.336920897861512,1.474329983808152,-1.8112508816696642
2024-03-01,ARIMA,-0.0125414606815436,1.474329983808152,-1.4868714444896955
2024-04-01,ARIMA,-0.7547926746046282,1.474329983808152,-2.22912265841278
2024-05-01,ARIMA,-0.074616850790369,1.474329983808152,-1.5489468345985211
2024-06-01,ARIMA,-1.4668124199125827,1.474329983808152,-2.9411424037207348
2024-07-01,ARIMA,-1.2191710631920631,1.474329983808152,-2.693501047000215
2024-08-01,ARIMA,-1.8292231211022745,1.474329983808152,-3.3035531049104265
2024-09-01,ARIMA,-0.2986447516800291,1.474329983808152,-1.772974735488181
2024-10-01,ARIMA,-1.4445846655933807,1.474329983808152,-2.9189146494015326
2024-11-01,ARIMA,-0.7008042300676067,1.474329983808152,-2.175134213875759
2024-12-01,ARIMA,0.3074561121036114,1.474329983808152,-1.1668738717045406
2025-01-01,ARIMA,0.4680949742011883,1.474329983808152,-1.0062350096069639
2025-02-01,ARIMA,0.2434390114551613,1.474329983808152,-1.2308909723529908
2025-03-01,ARIMA,-0.8389230627553863,1.474329983808152,-2.3132530465635384
2025-04-01,ARIMA,-0.8659361090689636,1.474329983808152,-2.3402660928771155
2025-05-01,ARIMA,-0.7343012227153031,1.474329983808152,-2.2086312065234552
2025-06-01,ARIMA,-0.6120136483711053,1.474329983808152,-2.0863436321792572
2025-07-01,ARIMA,-1.3790166149897003,1.474329983808152,-2.8533465987978524
2025-08-01,ARIMA,-2.230990582288184,1.474329983808152,-3.7053205660963364
