date;temperature;precipitation;humidity;evaporation;GTK
2020-12-22;-15.612;0.8;77.25;0.116;
2020-12-23;-13.525;8.0;82.375;0.135;
2020-12-24;-7.975;5.3;85.0;0.252;
2020-12-25;-20.475;0.9;72.25;0.033;
2020-12-26;-32.7;0.0;65.75;0.118;
2020-12-27;-35.2;0.0;62.625;0.226;
2020-12-28;-30.963;0.0;67.0;0.068;
2020-12-29;-18.888;0.0;63.0;0.08;
2020-12-30;-12.0;2.2;76.875;0.227;
2020-12-31;-24.25;1.0;68.25;0.001;
2021-01-01;-27.612;0.0;70.875;0.012;
2021-01-02;-33.275;0.0;65.0;0.139;
2021-01-03;-32.15;0.0;66.0;0.101;
2021-01-04;-29.288;0.0;68.875;0.033;
2021-01-05;-25.625;0.0;71.375;0.001;
2021-01-06;-22.1;0.0;65.5;0.017;
2021-01-07;-20.55;0.0;68.75;0.036;
2021-01-08;-21.9;0.0;72.625;0.015;
2021-01-09;-25.025;0.3;69.5;0.0;
2021-01-10;-14.25;4.5;77.375;0.152;
2021-01-11;-14.25;4.8;81.375;0.125;
2021-01-12;-24.338;0.0;69.0;0.001;
2021-01-13;-23.125;0.0;65.25;0.007;
2021-01-14;-22.875;0.8;73.5;0.007;
2021-01-15;-19.838;0.0;75.375;0.038;
2021-01-16;-15.8;0.0;66.5;0.165;
2021-01-17;-10.0;0.0;62.75;0.487;
2021-01-18;-8.675;0.4;79.125;0.323;
2021-01-19;-19.212;0.0;77.625;0.044;
2021-01-20;-23.2;0.0;71.875;0.005;
2021-01-21;-16.1;0.4;73.0;0.124;
2021-01-22;-15.725;1.4;76.125;0.119;
2021-01-23;-20.362;0.6;72.75;0.034;
2021-01-24;-27.312;0.5;67.5;0.01;
2021-01-25;-34.825;0.0;62.625;0.209;
2021-01-26;-30.038;0.0;67.125;0.048;
2021-01-27;-10.062;8.0;84.25;0.204;
2021-01-28;-5.425;1.4;85.25;0.328;
2021-01-29;-5.912;5.0;84.625;0.325;
2021-01-30;-13.288;2.0;68.125;0.254;
2021-01-31;-21.138;0.0;56.875;0.037;
2021-02-01;-19.425;0.0;66.625;0.067;
2021-02-02;-15.725;0.0;68.125;0.176;
2021-02-03;-9.038;5.0;82.125;0.293;
2021-02-04;-6.85;2.0;78.625;0.453;
2021-02-05;-11.3;0.2;79.125;0.252;
2021-02-06;-2.788;0.2;85.0;0.476;
2021-02-07;-0.65;1.0;70.875;1.11;
2021-02-08;-4.85;9.0;81.625;0.48;
2021-02-09;-15.362;2.3;67.875;0.192;
2021-02-10;-20.262;1.5;70.125;0.043;
2021-02-11;-26.875;0.0;67.875;0.007;
2021-02-12;-26.638;0.0;68.5;0.005;
2021-02-13;-25.571;0.0;65.143;0.001;
2021-02-14;-14.217;2.0;67.667;0.242;
2021-02-15;-4.567;0.3;76.167;0.64;
2021-02-16;-3.538;3.0;80.125;0.589;
2021-02-17;-7.325;8.2;76.375;0.474;
2021-02-18;-15.575;0.0;64.625;0.202;
2021-02-19;-11.875;3.7;76.0;0.266;
2021-02-20;-20.675;0.0;67.0;0.04;
2021-02-21;-17.688;0.0;69.5;0.105;
2021-02-22;-19.138;0.0;71.625;0.063;
2021-02-23;-20.762;0.0;71.875;0.032;
2021-02-24;-16.112;2.0;73.875;0.133;
2021-02-25;-18.938;2.0;66.625;0.079;
2021-02-26;-23.462;0.3;62.375;0.006;
2021-02-27;-23.362;0.4;66.25;0.006;
2021-02-28;-20.262;0.0;70.0;0.043;
2021-03-01;-8.3;7.0;86.0;0.227;
2021-03-02;-12.7;1.0;74.25;0.226;
2021-03-03;-13.55;0.0;76.75;0.177;
2021-03-04;-7.862;0.9;78.375;0.369;
2021-03-05;-3.7;0.4;70.25;0.784;
2021-03-06;-3.788;3.9;78.625;0.558;
2021-03-07;-5.45;1.0;68.5;0.699;
2021-03-08;-4.075;0.0;72.0;0.712;
2021-03-09;-9.15;0.4;67.0;0.481;
2021-03-10;-8.52;0.0;75.0;0.394;
2021-03-11;-4.029;0.0;65.286;0.886;
2021-03-12;-8.562;1.0;64.875;0.551;
2021-03-13;-16.45;0.0;71.875;0.119;
2021-03-14;-15.712;0.0;65.75;0.172;
2021-03-15;-13.238;0.0;67.375;0.262;
2021-03-16;-12.2;0.0;65.5;0.328;
2021-03-17;-9.2;0.0;57.125;0.621;
2021-03-18;-7.875;2.5;74.0;0.443;
2021-03-19;-4.75;0.0;71.125;0.688;
2021-03-20;-0.737;0.0;50.875;1.679;
2021-03-21;1.7;0.0;71.875;1.164;
2021-03-22;0.888;0.6;76.25;0.924;
2021-03-23;0.125;2.0;68.375;1.159;
2021-03-24;-0.738;3.0;75.75;0.829;
2021-03-25;-1.85;1.3;76.5;0.731;
2021-03-26;-1.95;2.1;76.125;0.737;
2021-03-27;-0.45;0.0;63.125;1.29;
2021-03-28;0.975;0.7;75.5;0.96;
2021-03-29;-1.112;5.0;85.375;0.485;
2021-03-30;-3.438;2.8;78.125;0.591;
2021-03-31;-5.488;0.0;69.5;0.674;
2021-04-01;-3.312;0.0;58.625;1.168;
2021-04-02;-2.212;0.0;61.125;1.211;
2021-04-03;2.075;0.1;65.25;1.528;
2021-04-04;1.325;0.0;58.75;1.715;
2021-04-05;5.825;0.0;35.875;3.656;
2021-04-06;4.2;0.0;66.25;1.727;
2021-04-07;2.412;0.0;65.75;1.544;
2021-04-08;1.95;0.0;69.0;1.351;
2021-04-09;3.525;0.0;65.25;1.697;
2021-04-10;5.862;0.0;43.375;3.236;
2021-04-11;6.35;0.0;41.0;3.479;
2021-04-12;5.362;0.0;48.5;2.849;
2021-04-13;5.375;2.0;58.375;2.304;
2021-04-14;5.088;0.0;55.25;2.431;
2021-04-15;7.225;0.0;62.5;2.337;
2021-04-16;11.2;0.0;54.5;3.578;0.0
2021-04-17;1.725;0.0;51.125;2.094;
